Date;Ano;Mês;Nome_mês;Trimestre;Dia;Dia_da_Semana;Tipo_dia
17/08/2019;2019;8;agosto;3;17;sábado;FINAL DE SEMANA
18/08/2019;2019;8;agosto;3;18;domingo;FINAL DE SEMANA
19/08/2019;2019;8;agosto;3;19;segunda-feira;DIA UTIL
20/08/2019;2019;8;agosto;3;20;terça-feira;DIA UTIL
21/08/2019;2019;8;agosto;3;21;quarta-feira;DIA UTIL
22/08/2019;2019;8;agosto;3;22;quinta-feira;DIA UTIL
23/08/2019;2019;8;agosto;3;23;sexta-feira;DIA UTIL
24/08/2019;2019;8;agosto;3;24;sábado;FINAL DE SEMANA
25/08/2019;2019;8;agosto;3;25;domingo;FINAL DE SEMANA
26/08/2019;2019;8;agosto;3;26;segunda-feira;DIA UTIL
27/08/2019;2019;8;agosto;3;27;terça-feira;DIA UTIL
28/08/2019;2019;8;agosto;3;28;quarta-feira;DIA UTIL
29/08/2019;2019;8;agosto;3;29;quinta-feira;DIA UTIL
30/08/2019;2019;8;agosto;3;30;sexta-feira;DIA UTIL
31/08/2019;2019;8;agosto;3;31;sábado;FINAL DE SEMANA
01/09/2019;2019;9;setembro;3;1;domingo;FINAL DE SEMANA
02/09/2019;2019;9;setembro;3;2;segunda-feira;DIA UTIL
03/09/2019;2019;9;setembro;3;3;terça-feira;DIA UTIL
04/09/2019;2019;9;setembro;3;4;quarta-feira;DIA UTIL
05/09/2019;2019;9;setembro;3;5;quinta-feira;DIA UTIL
06/09/2019;2019;9;setembro;3;6;sexta-feira;DIA UTIL
07/09/2019;2019;9;setembro;3;7;sábado;FERIADO
08/09/2019;2019;9;setembro;3;8;domingo;FINAL DE SEMANA
09/09/2019;2019;9;setembro;3;9;segunda-feira;DIA UTIL
10/09/2019;2019;9;setembro;3;10;terça-feira;DIA UTIL
11/09/2019;2019;9;setembro;3;11;quarta-feira;DIA UTIL
12/09/2019;2019;9;setembro;3;12;quinta-feira;DIA UTIL
13/09/2019;2019;9;setembro;3;13;sexta-feira;DIA UTIL
14/09/2019;2019;9;setembro;3;14;sábado;FINAL DE SEMANA
15/09/2019;2019;9;setembro;3;15;domingo;FINAL DE SEMANA
16/09/2019;2019;9;setembro;3;16;segunda-feira;DIA UTIL
17/09/2019;2019;9;setembro;3;17;terça-feira;DIA UTIL
18/09/2019;2019;9;setembro;3;18;quarta-feira;DIA UTIL
19/09/2019;2019;9;setembro;3;19;quinta-feira;DIA UTIL
20/09/2019;2019;9;setembro;3;20;sexta-feira;DIA UTIL
21/09/2019;2019;9;setembro;3;21;sábado;FINAL DE SEMANA
22/09/2019;2019;9;setembro;3;22;domingo;FINAL DE SEMANA
23/09/2019;2019;9;setembro;3;23;segunda-feira;DIA UTIL
24/09/2019;2019;9;setembro;3;24;terça-feira;DIA UTIL
25/09/2019;2019;9;setembro;3;25;quarta-feira;DIA UTIL
26/09/2019;2019;9;setembro;3;26;quinta-feira;DIA UTIL
27/09/2019;2019;9;setembro;3;27;sexta-feira;DIA UTIL
28/09/2019;2019;9;setembro;3;28;sábado;FINAL DE SEMANA
29/09/2019;2019;9;setembro;3;29;domingo;FINAL DE SEMANA
30/09/2019;2019;9;setembro;3;30;segunda-feira;DIA UTIL
01/10/2019;2019;10;outubro;4;1;terça-feira;DIA UTIL
02/10/2019;2019;10;outubro;4;2;quarta-feira;DIA UTIL
